dzo_to_eng,eng_to_dzo
"At around 11:29 am, my exhibitors arrived in Holborn from White Hall via the Tafalgar Square, Eastern Alwich and Kinksway, sitting at the Conservative Party meeting at the Greenconwood dining hall.",ཆུ་ཚོད་ ༡༢:༢༩ དེ་ཅིག་ཁར་ངོ་རྒོལ་འདི་ཝའི་ཊ་ཧཱལ་ལས་ཕར་ཊར་ཕལ་གཱར་གྲུ་བཞི་དང་ཕར་ལམ་བདའ་སྟེ་ ཨོལཌིཝིཀ་དང་ཀིནཆི་ལས་ཡར་ཧོལབཱོན་ལུ་འགྱོ་སྟེ་ཀེན་སར་བིཊ་ཝེཔ་ཊ་པ་ཊིཝཔ་པ་གིས་ཁོང་གི་གནམ་བྱཱར་གྱི་ཚོགས་འདུ་འདི་ གེརེན་ ཀོ་ནཊ་ཁང་ཁང་ཁྱིམ་ནང་འབད་ནུག།
Nado won the country by 7 and 2 points over Canadian athletes.,ནཱ་ཌལ་གྱིས་ཀེ་ན་ཌ་གི་རྩེད་འགྲན་འབད་མི་ལུ་ཐོ་ཚད་འགོ་ཐོག་ལུ་༧ ལས་༢ཨིན།
Nadal recently left Roenick for the Brisbane Open.,ཁོ་གིས་ད་རེས་ཁམས་ཅིག་ཁར་བིརིསི་བེན་ཁ་ཕྱེ་མི་ནང་རཱ་ཨོན་ཀིསི་ལུ་ཕམ་ནུག།
"Nado scored 88 points off the floor, 76 points on the first surfboard.",ནཱ་ཌལ་གྱིས་ རྩེད་འགྲན་ནང་ བརྒྱ་ཆ་༨༨ གྲུབ་འབྲས་ཐོན་ཡོདཔ་ལས་ འགོ་ཐོག་གི་ ཞབས་ཏོག་ནང་ བརྒྱ་ཆ་༧༦ རྒྱལ་ཁ་འཐོབ་ནུག།
"After the game, Nadal, the best player on the field, said that he was very happy to be back in the final of the tournament and that he was likely to win the competition.",རྩེད་འགྲན་མཇུག་བསྡུ་ཞིནམ་ལས་ ཀིང་ཨོཕ་ཀེལི་གིས་ ང་གནམ་མེད་ས་མེད་གལ་ཅན་གི་ལས་རིམ་གྱི་ མཐའ་འཁོར་མཇུག་ནང་ལོག་འོང་ནི་འདི་གིས་ སེམས་དགའ་ཡི་ཟེར་སླབ་ཅི། ང་ནཱ་ལུ་འདི་རྒྱལ་ཁ་འཐོབ་ནི་གི་དཔའ་བཅམ་དོ།
"The Panama Papers lost to the media in the skies of 2016 were the 10 million papers lost to the MozFonSca, a Panamanian law firm.",པཱན་མ་ཡི་གུ་འདི་ པཱན་མ་གི་ཁྲིམས་ཞིབ་ཁང་མོ་སེག་ཕོན་སི་ཀ་ལས་ཡིག་ཆ་ས་ཡ་བཅུ་ཐམ་ཅིག་གི་དོན་ལུ་ འདྲ་དཔེ་མིང་ཚིག་ཨིན། འདི་ ༢༠༡༦ གི་གནམ་དགུན་ལུ་གསར་འགོད་པ་ལུ་འཐོན་ནུག།
The documents revealed that 14 banks had helped the wealthy account holders withhold billions of US dollars to avoid taxes and other penalties.,ཡིག་ཆ་ཚུ་གིས་དངུལ་ཁང་བཅུ་བཞི་གིས་དངུལ་ཁྲལ་དང་ཁྲིམས་ལུགས་གཞན་ཚུ་སྤང་ནིའི་དོན་ལུ་དངུལ་ཀྲམ་ཐེར་འབུམ་གྱི་དངུལ་ཁང་ཚུ་དངུལ་ཁང་ཕྱུགཔོ་ཚུ་ལུ་གཡིབ་བཅུག་ཡི།
"According to The Guardian, a British newspaper, one third of the 1,200 companies that have closed for this purpose are under the Russian banking supervision.",བིརི་ཊིཤ་གི་གསར་ཤོག་ཨང་ཇི་ཌཱན་གྱིས་ ཌོཤི་བཱེན་ཀ་གིས་ འདི་གྲུབ་ནི་ལུ་ལག་ལེན་འཐབ་མི་ ཤ་ཤེལ་ཚོང་སྡེ་ ༡༢༠༠ གི་དཔྱ་གསུམ་ཅིག་ ཚད་འཛིན་འབད་ནུག་ཟེར་བཀོད་ནུག།
"There were protests and protests all over the world, and Iceland was the first country to call on both the heads of government.",འཛམ་གླིང་ཡོངས་ལུ་ངོ་རྒོལ་དང་ཉེས་ཁྲིམས་ཞིབ་ལེ་ཤ་ཅིག་འབད་ཡོདཔ་དང་ཨི་སལ་ནཌ་དང་པཱ་ཀིསི་ཊཱན་གཞུང་གི་འགོ་ཁྲིདཔ་གཉིས་ཆ་ར་རང་དགོངས་ཞུ་འབད་ནུག།
"Born in Hong Kong, Ma attended New York University and Harvard Law School and was once granted permanent residency in the United States by GreenCart.",མཱ་འདི་ ཧོང་ཀོང་ལུ་སྐྱེས་ཞིནམ་ལས་ ནིའུ་ཡོརཀ་གཙུག་ལག་སློབ་སྡེ་དང་ཧཱར་ཝཌ་ཁྲིམས་སློབ་གྲྭ་ནང་ལྷབ་ཡོདཔ་དང་ དེ་ཅིག་གི་ཧེ་མ་ ཨ་མི་རི་ཀཱན་གཏན་འཇགས་སྡོད་གནས་ཡིག་ཧོནི་ཀཱར་ཌ་ཅིག་བཟུང་ནུག།
"During the election, Hesh said that when disasters hit the country, his mother was on the verge of running away.",ཨེསི་ཧིས་ བཙག་འཐུ་སྐབས་ མ་གིས་ དཀའ་ངལ་གྱི་དུས་ལུ་ རྒྱལ་ཁབ་འདི་བྱོག་འགྱོ་ནི་འོང་ཟེར་ ཚོར་སྣང་བསྐྱེད་ནུག།
"Also, Hesh said that the beautiful woman in the picture was cooking inside and was stylish outside.",ཧི་སི་ཧི་གིས་ པར་ཆས་ཀྱི་མ་འདི་རྒྱུ་རྫས་ལས་ལྷག་སྟེ་བཟོ་རྣམ་ཨིན་ཟེར་ཡང་ཁ་བཟེད་ནུག།
"Despite these accusations, the promise of a better relationship with China was easily won.",ཉེས་འཛུགས་ཚུ་ཡོད་དེ་འབད་རུང་ མཱ་གིས་རྒྱ་ནག་གི་རྒྱ་མཚོའི་ས་ཁོངས་དང་འབྲེལ་བ་དམ་དྲགས་སྦེ་ཡོད་པའི་རྒྱབ་སྐྱོར་འབད་མི་འདི་ཐོག་རྩེད་ཐང་ཅིག་ནང་འཇམ་ཏོང་ཏོ་སྦེ་རྒྱལ་ཁ་ཐོབ་ནུག།
The best player in today's game was Alex Oshkine of the Washington Capitals.,ད་རིས་ཀྱི་ཉིནམ་གི་རྩེདམོ་རྩེ་མི་འདི་ཝོས་ཊོན་ཀེཔ་ཊི་ལསི་ལས་ཨིན་པའི་ཨེ་ལེསི་ཨོ་ཝིཅིན་ཨིན།
"When he played with EdLand Terrasser, he scored 2 goals and was able to assist in scoring 2 more, which Washington won 5 and 3 goals.",ཁོ་ཨཱ་ཊལ་ཊན་ཊ་ཐྲ་ཤར་ལུ་ཨེས་ཊེན་ཊན་གྱི་༥-༣ རྒྱལ་ཁ་ཐོབ་ད་དམིགས་ཡུལ་༢ དང་རྒྱབ་སྐྱོར་༢ བྱུང་ནུག།
The first goal Oskins scored that night was the goal that Nicholas Backstrom scored and won the match.,ཨོ་ཝིཅིན་གྱི་ཕྱི་རུ་གི་རྒྱབ་སྐྱོར་འགོ་དང་པ་འདི་རྩེད་འགྲན་ནང་རྒྱལ་ཁ་ཐོབ་མི་དམིགས་ཡུལ་ནང་གསར་སྐྱེས་ཀཱལ་སི་བེཀ་སི་ཊོརམ་གྱིས་འབད་ནུག།
"He scored his second goal that night, 60 goals in the tournament, and in 1995 and 1996 became the first player to ever score that goal since Jarom McGar and Mario Lhamo were found to have scored 60 or more goals.",ཁོ་གི་ནུབ་མོ་གི་དམིགས་ཡུལ་གཉིས་པ་འདི་དུས་སྟོན་གྱི་དུས་སྟོན་༦༠ པ་ཨིནམ་དང་སྤྱི་ལོ་༩༩༥-༩༦ ལས་འགོ་བཙུགས་ཏེ་དུས་སྟོན་ཅིག་ནང་དམིགས་ཡུལ་༦༠ དང་དེ་ལས་ལྷག་སྟེ་དམིགས་ཡུལ་བཙུགས་མི་རྩེདམོ་རྩེ་མི་འགོ་དང་པ་ཨིནམ་ད་ད་ད་ཡ་རོ་མཱིར་ཇ་གཱར་དང་མེ་རི་འོ་ལེ་མི་ཡུས་གཉིས་ཆ་ར་གིས་དུས་སྟོན་དེ་ནང་ལྷོད་ནུག།
"In the 2008 list of richest Americans, Betten was ranked 190th with an estimated fortune of US$2 billion and a net worth of $3 billion.",བཊ་འདི་སྤྱི་ལོ་༢༠༠༨ གི་ཨ་མི་རི་ཀཱན་གྱི་ཕྱུགཔོ་༤༠༠ གི་ཐོ་ནང་ནོར་སྐལ་ཡ་འབུམ་༢.༣ ཡོད་པའི་གནས་རིམ་༡༩༠ པའི་ནང་བཙུགས་ནུག།
"He was also a major contributor to the university, having graduated from the College of Arts and Sciences under the University of Virginia in 1950.",ཁོ་གིས་ ༡༩༥༠ ལུ་ཝིར་ཇིན་ཡ་གཙུག་ལག་སློབ་སྡེ་གི་སྒྱུ་རྩལ་དང་ཚན་རིག་མཐོ་རིམ་སློབ་གྲྭ་ནང་ལས་མཐར་འཁྱོལ་ཏེ་དེ་གི་གཞི་བཙུགས་ལུ་གྲོགས་རམ་སྦོམ་ཅིག་འབད་ནུག།
Abu Ghraib prison in Iraq caught on fire during the riots.,ཨི་རཱཀ་གི་ཨ་བུ་གཱ་རཱིབ་བཙོན་ཁང་འདི་ཟིང་འཁྲུག་ཅིག་གི་སྐབས་ལུ་མེ་བཏང་ཡི།
The prison was eventually badly damaged after the US military took over the prison.,བཙོན་ཁང་འདི་ཨ་མི་རི་ཀཱན་གྱི་དམག་མི་གིས་དབང་འཛིན་འབད་བའི་ཤུལ་ལས་བཙོན་པ་ལུ་གནོད་འཚེ་འབད་བའི་ཤུལ་ལུ་ཟོགཔ་སྦེ་འགྱུར་ནུག།
"At the 2008 Singapore Auto Race, Picota Jr. was in an accident while waiting for a safety car in Farnborough, Olenso.",པི་ཀེཊ་ཇུ་ནར་འདི་སྤྱི་ལོ་༢༠༠༨ གི་སིང་གར་པིརི་ནང་ ཕར་ན་ནཌ་ ཨཱལ་ནོ་སུའི་དོན་ལུ་ སྣུམ་འཁོར་ཉེན་སྲུང་གི་ཀཱར་ཕྱི་ཁར་འབག་འོང་ཞིནམ་ལས་ སྣུམ་འཁོར་བཀག་བཞག་ཞིནམ་ལས་ རྐྱབ་རྐྱེན་བྱུང་ནུག།
The car that passed Olonso ahead was packing with the safety car and he ran to the front and won.,ཨ་ལཱོན་སོན་གྱི་ཧེ་མ་ཡོད་པའི་ཀཱར་ཚུ་ཉེན་སྲུང་གི་ཀཱར་གྱི་འོག་ལུ་འཚབ་རྫས་ལེན་པར་འགྱོ་པའི་སྐབས་ ཁོ་གིས་རྒྱལ་ཁ་འཐོབ་ནི་ལུ་ཡར་སོང་ནུག།
The Picota Junior was retired after a motor race in Hungary in 2009.,པི་ཀེཊ་ཇུ་ནར་འདི་༢༠༠༩ གི་ཧིང་གར་རྒྱལ་རྟགས་ཀྱི་ཤུལ་ལས་བཏོན་བཏང་ནུག།
"Just before 8:46 a.m., a quiet atmosphere was felt in the city, and the first plane to hit the building was aware of it.",ཆུ་ཚོད་ངོ་མ་ར་༨:༤༦ ལུ་ཁྲོམ་སྡེ་ག་ར་ནང་ཁུ་སིམ་སི་ཅིག་འཐོན་ཏེ་གནམ་གྲུ་འགོ་དང་པ་གིས་དམིགས་གཏད་འཐབ་པའི་དུས་ཚོད་ངོ་མ་འདི་རྟགས་བཀལ་ནུག།
Two lights of fire were lit in the sky at night.,འོད་མདངས་ཀྱི་གློག་མེ་གཉིས་འདི་ནུབ་མོ་གནམ་ཁ་ལུ་ལྟག་སྟོན་ནིའི་དོན་ལུ་བཟོ་ནུག།
"Five new buildings are under construction on the site, including the central transport hub and the memorial park.",ས་ཁོངས་ནང་གནམ་གཤིས་གསརཔོ་ལྔ་བཟོ་བཀོད་འབད་མི་འདི་ ད་ལྟོ་ར་འབད་ར་ཡོདཔ་དང་ སྦུག་ལུ་ སྐྱེལ་འདྲེན་ལྟེ་བ་དང་ དྲན་རྟེན་གླིང་ཀ་ཅིག་འདུག།
"The PBS television series has received more than a dozen Emmy nominations, making it the second highest rated show since Sam Stirling and Mr Rogers Nebulawood.",པི་བི་ཨེས་གི་འགྲེམས་སྟོན་ལུ་ཨེ་མི་གི་གཟེངས་རྟགས་བཅུ་གཉིས་ལས་ལྷག་སྟེ་ཡོདཔ་དང་དེའི་འགྲེམས་སྟོན་འདི་སེ་སེམ་ཨིསི་ཊིརཊི་དང་མིསི་ཊར་རོཇརསི་གི་ཁྱིམ་ཚང་ལས་རྐྱངམ་གཅིག་ཐུང་ཀུ་ཨིན།
"Each episode of the series follows a different story by book, focusing on each episode.",འགྲེམས་སྟོན་གྱི་སྐོར་ཚན་རེ་རེ་བཞིན་གྱིས་དཔེ་དེབ་ངེས་ཅན་ཅིག་ནང་གནད་དོན་ཅིག་ལུ་དམིགས་གཏད་འབད་ཞིནམ་ལས་དེའི་གནད་དོན་འདི་ལོ་རྒྱུས་ལེ་ཤ་གི་ཐོག་ལས་འཚོལ་ཞིབ་འབད་འོང་།
Each program also offers supports on what kind of books children should read while visiting the library.,དཔེ་སྟོན་རེ་རེ་བཞིན་དུ་ ཨ་ལུ་ཚུ་གིས་ཁོང་རའི་དཔེ་མཛོད་ཁང་ནང་ལུ་འགྱོ་བའི་སྐབས་བལྟ་དགོ་པའི་དཔེ་དེབ་ཚུ་གི་རྒྱབ་སྣོན་ཡང་བྱིན་འོང་།
John Grant from the Windup Folly encourages children to pick up and read books by showing Rinzin Boey why children should read books and how to enjoy reading.,ཝེན་ཨེན་ཌི་བཱ་ཕལ་ལོ་གིས་ཀློག་པའི་མེ་ཏོག་གི་ཁྱིམ་གྱི་ལས་ཁང་ལས་ ཇཱོན་ གརཱན་ཊ་གིས་མེ་ཏོག་གིས་ཨ་ལུ་ལུ་ག་ཅི་སྦེ་ཀློག་དགོཔ་ཨིན་ན་སྟོན་ཡི་ དེ་ལས་དཔེ་སྟོན་ལྷག་ནི་ལུ་དགའ་ནི་འདི་གིས་ཨ་ལུ་ཚུ་དཔེ་དེབ་ཅིག་འཐུ་སྟེ་ལྷག་ནི་ལུ་སྐུལ་ཤུགས་བྱིན་ཡི་ཟེར་སླབ་ཅི།
"Some people, including John Grant, believe that the educational program presented on TV was unfunded and that educational philosophy had to change.",ཇཱོན་ གརཱན་ཊ་བརྩིས་ཏེ་ ལ་ལུ་གིས་ མ་དངུལ་གྱི་དཀའ་ངལ་དང་ ཤེས་རིག་གི་རྒྱང་མཐོང་ལས་རིམ་གྱི་རིག་གནས་བསྒྱུར་བཅོས་ཀྱིས་ རྒྱང་མཐོང་འདི་མཇུག་བསྡུ་ནི་ལུ་གྲོགས་རམ་འབད་ཡི་ཟེར་ཡིད་ཆེས་བསྐྱེདཔ་མས།
"According to forecasts, the storm, which is located 1,040 kilometers west of Cape Verde Island, is likely to calm unless it hits elsewhere.",གནམ་གཤིས་གནས་སྟངས་ཤེས་མི་ཚུ་གིས་ ཀེཔབཱརཌ་གླིང་ཕྲན་གྱི་ནུབ་ཕྱོགས་ལུ་ ཀི་ལོ་མི་ཊར་ ༡༠༤༠ དེ་ཅིག་ནང་ཆགས་མི་རླུང་འཚུབ་འདི་ ས་གཞི་ག་ཅི་ལུ་ཡང་ཉེན་ཁ་མ་བཀལ་བའི་ཧེ་མ་ འགྱུར་འགྱོ་ནི་བཟུམ་འདུག་ཟེར་སླབ་མས།
The storm had winds of 165 km/h and was blowing northwestward.,ད་ལྟོ་ཕེརེཌ་ལུ་རླུང་ཤུགས་ཆུ་ཚོད་གཅིག་ནང་ ༡༦༥ ཀི་ལོ་མི་ཊར་ཡོདཔ་ལས་ ནུབ་བྱང་ཕྱོགས་ཁ་ཐུག་འགྱོ་དེས།
"Hurricane Fred was the strongest hurricane to hit the South and East Atlantic since satellite imagery began, and the third largest such storm to hit west of Mount Everest 35 on the east coast.",ཕེརེཌ་འདི་ཨཊལ་ཊན་ཊིག་གི་པར་གློག་བརྙན་ཚུ་འཐོན་ཞིནམ་ལས་ཚུན་ལྷོ་དང་ཤར་ལུ་ཐོ་བཀོད་འབད་མི་དྲག་རླུང་དྲག་ཤོས་དང་ ཌི་གེ་རི་ཌིརི་༣༥ ཝའི་ཐོ་ནང་ཡོད་མི་རླུང་འཚུབ་སྦོམ་ཤོས་གསུམ་པ་རྐྱངམ་གཅིག་ཨིན།
"On 24 September 1759, Arthur Nietzsche signed the 9th Millennium Charter for the St. James's Brewery in Dublin, Ireland.",༡༧༥༩ སྤྱི་ཟླ་དགུ་པའི་སྤྱི་ཚེས་༢༤ ལུ་ཨར་ལཱེན་ཌབ་ལིན་ལུ་ཡོད་པའི་སེནཊ་ཇེམ་སིཊ་གི་བིའུ་རི་གི་སྒོ་སྲུང་ལུ་ཨར་ལིན་ཌ་གི་ཨར་ལིན་ཌ་ལུ་ཨར་ལིན་ཌ་༩༠༠༠ གི་གླ་ཁར་སྤྲོད་ནུག།
"After 250 years, Guinness has become the largest market in the world, generating more than 10 billion euros in revenue annually.",ལོ་ངོ་ ༢༥༠ གི་ཤུལ་ལས་ གིནསི་འདི་འཛམ་གླིང་ཡོངས་ཀྱི་ཚོང་འབྲེལ་ཅིག་ལུ་ཡར་རྒྱས་འགྱོ་སྟེ་ལོ་རེ་ནང་ཡུ་རོས་ཡ་ ༡༠ འབད་མི་ ཡུ་ཨེསི་ཌོ་ལར་ས་ཡ་ ༡༤.༧ ཨིན།
"Johnny Reed, New Zealand's AvangPhone team driver, has a long history of making a name for himself as the fastest driver to legally sail from the Auckland Harbour, now 48 years old.",ཇོ་ནིརི་ཌ་ ནིའུ་ཛི་ལེནཌ་ཨེ་༡ཇི་བི་སྡེ་ཚན་གྱི་སྣུམ་འཁོར་གྲོགས་རམ་གྱིས་ད་རིས་ཁྲིམས་མཐུན་གྱི་ཐོག་ལས་ ནིའུ་ཛི་ལེནཌ་ཨོག་ལེནཌ་ཧཱར་བྷོར་བིཇ་ལོ་ ༤༨ གི་ནང་འཁོད་ལུ་མགྱོགས་དྲགས་སྦེ་སྣུམ་འཁོར་གཏང་སྟེ་རྒྱལ་རབས་བཟོ་ནུག།
"Ridden passed the New Zealand AvangPie, a black car, on the bridge at a speed of 7 times faster than 160 km/h.",མིསི་ཊར་རེ་ཌ་གིས་ནིའུ་ཛི་ལེནཌ་གི་ཨེ་༡ཇི་པི་ཀཱར་ བ་ལེཀ་བེ་ཊི་འདི་ཆུ་ཚོད་གཅིག་ནང་ཀི་ལོ་མི་ཊར་ ༡༦༠ གི་མགྱོགས་ཚད་ལས་བདུན་པ་ལམ་ཁར་གཏང་ཚུགས་ནུག།
"Although the driver's vehicle was slow, the New Zealand police used a machine to track his speed, which made it difficult to verify, but only once did he be able to track the vehicle as it slowed to 160 km/h.",ནིའུ་ཟི་ལེནཌ་གི་ཁྲིམས་སྲུང་འགག་པ་གིས་ རིག་འཛིན་གྱིས་ག་དེམ་ཅིག་མགྱོགས་དྲགས་འགྱོ་དོ་ག་བལྟ་ནི་ལུ་ ཁོང་རའི་མགྱོགས་དྲགས་ཅན་གྱི་རཱ་ཌར་ཀྲོན་ལག་ལེན་འཐབ་ནི་ལུ་དཀའ་ངལ་བྱུང་ཡོདཔ་དང་ ཁྲིམས་སྲུང་འགག་པ་གིས་ རིག་འཛིན་འདི་ཆུ་ཚོད་རེ་ལུ་ཀི་ལོ་མི་ཊར་ ༡༦༠ ཚུན་མར་འགྱོ་བའི་སྐབས་རྐྱངམ་གཅིག་ ཆུ་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་ཚོད་བལྟ་ཚུགས་ནུག།
"Over the past three months, more than 80 people have been detained without charge at the police station.",འདས་པའི་ཟླཝ་༣ ནང་འཛིན་བཟུང་འབད་མི་༨༠ ལས་ལྷག་སྟེ་ གཞུང་འབྲེལ་གྱི་ཉེས་འཛུགས་མ་བཀལ་བར་སྦུག་སྡེབ་ཁང་ནང་ལས་བཏང་ནུག།
"In April, a judge ordered Kencho to release those held in custody for more than 24 hours because the defendant had not appeared at the hearing.",དུས་ཅི་ སྤྱི་ཟླ་བཞི་པའི་ནང་ དྲང་དཔོན་གལིན་གྱིས་ ཁོང་གི་འཛུལ་ཞུགས་ཀྱི་ཤུལ་ལས་ཆུ་ཚོད་ ༢༤ ལས་ལྷག་སྟེ་བཞག་མི་ཁྲིམས་ཁང་གི་ཚོགས་དཔོན་གྱིས་སྙན་གསན་མ་ཐོབ་མི་ཚུ་དགོངས་ཡངས་འབད་ནི་གི་མཐུན་རྐྱེན་གྱི་རྒྱབ་འགལ་སྦེ་ གནས་སྐབས་ཀྱི་བསྐྱར་གསོ་འབད་ནི་གི་བཀའ་རྒྱ་ཅིག་བཏོན་ནུག།
The person charged by the judge is then dismissed if given the opportunity and the charges brought by the arresting officer are verified. The charges are then placed in a computer system so that they can be viewed for the case.,ལྷན་ཚོགས་ཀྱིས་ ག་དེམ་ཅིག་སྦེ་བྱིན་པ་ཅིན་གཏུག་ཐམ་བཙུགས་ཏེ་འཛིན་བཟུང་འགོ་དཔོན་གྱིས་བཙུགས་མི་ཉེས་ཁ་འདི་ལམ་ལུགས་བཟོ་ཨིན། དེ་ལས་ཉེས་ཁ་འདི་ཐད་ཁ་འཚོལ་སའི་མངའ་སྡེ་གི་གློག་རིག་ལམ་ལུགས་ནང་བཙུགས་ནུག།
